hr_lowest,hr_average,rmssd,score_deep,temperature_deviation,temperature_trend_deviation,temperature_delta,duration,rem,efficiency,score_alignment,score_rem,light,onset_latency,restless,breath_average,score_disturbances,score,score_efficiency,score_latency,score_total
67.0,75.11,29.0,96,-0.07,0.04,-0.07,36060.0,7620.0,91.0,100,97,19230.0,840.0,33.0,13.0,76,95,97,97,100
70.0,76.33,26.0,73,0.06,0.07,0.06,32160.0,5160.0,84.0,100,74,17910.0,810.0,42.0,13.25,72,82,81,97,82
66.0,77.21,29.0,84,-0.2,0.0,-0.2,35820.0,6990.0,78.0,100,96,16530.0,420.0,30.0,13.125,70,83,67,78,86
67.0,75.01,31.0,96,0.0,0.0,0.0,37380.0,8580.0,87.0,100,99,18330.0,420.0,39.0,13.625,76,93,88,78,100
71.0,77.7,28.0,43,0.11,0.07,0.11,33720.0,5850.0,77.0,100,85,17670.0,3660.0,44.0,12.75,60,67,65,10,78
72.0,78.85,24.0,81,-0.1,0.07,-0.1,37080.0,7170.0,80.0,100,96,18150.0,2130.0,37.0,13.0,72,83,72,43,93
65.0,72.48,39.0,96,0.19,0.13,0.19,37260.0,9540.0,87.0,100,100,17100.0,900.0,44.0,12.875,59,92,88,99,100
66.0,74.08,35.0,95,-0.1,0.1,-0.1,36120.0,8190.0,93.0,100,98,20010.0,1170.0,35.0,13.125,73,94,98,86,100
64.0,71.43,40.0,98,-0.37,-0.06,-0.37,35100.0,8100.0,89.0,100,98,15510.0,360.0,35.0,13.0,72,91,93,75,97
68.0,76.32,29.0,50,-0.17,-0.15,-0.17,37260.0,8730.0,91.0,100,100,22260.0,690.0,41.0,13.375,61,88,96,91,100
67.0,77.18,29.0,57,0.21,0.02,0.21,35340.0,7200.0,88.0,100,96,20940.0,750.0,46.0,13.875,58,86,90,94,97
66.0,72.94,37.0,96,-0.16,0.06,-0.16,39240.0,9690.0,93.0,100,100,21330.0,240.0,41.0,13.625,69,92,98,70,100
67.0,74.57,32.0,79,-0.11,0.03,-0.11,34320.0,6870.0,86.0,100,96,18270.0,2190.0,42.0,13.5,70,83,86,40,92
72.0,78.37,26.0,49,0.23,0.13,0.23,32220.0,4110.0,87.0,100,59,21120.0,870.0,45.0,13.875,61,79,88,99,86
68.0,73.18,39.0,95,0.22,0.28,0.22,36960.0,7500.0,91.0,100,97,20820.0,1020.0,34.0,13.375,77,95,97,94,100
64.0,72.03,45.0,96,0.12,0.29,0.12,26520.0,5310.0,90.0,100,77,12840.0,840.0,37.0,13.0,76,82,95,97,69
66.0,75.24,38.0,66,-0.05,0.17,-0.05,39180.0,5970.0,86.0,100,86,24330.0,2970.0,50.0,13.5,58,80,88,19,100
66.0,75.76,31.0,92,0.04,0.11,0.04,38040.0,8490.0,89.0,100,99,20280.0,990.0,38.0,13.25,64,92,93,94,100
66.0,72.83,37.0,78,0.27,0.2,0.27,38220.0,5970.0,88.0,100,86,23310.0,390.0,46.0,13.125,54,86,90,78,100
64.0,73.02,40.0,96,0.09,0.25,0.09,36840.0,7320.0,87.0,100,97,18510.0,1140.0,37.0,13.375,82,94,88,89,99
56.0,70.35,48.0,96,0.04,0.2,0.04,35220.0,7800.0,85.0,100,98,16440.0,1230.0,37.0,13.25,72,90,83,83,94
62.0,70.15,43.0,98,-0.25,0.03,-0.25,34800.0,4470.0,90.0,100,64,19680.0,1290.0,37.0,13.0,67,88,95,81,98
62.0,69.8,49.0,96,-0.31,-0.12,-0.31,37620.0,7260.0,94.0,100,96,21990.0,1110.0,34.0,12.875,85,96,99,89,100
66.0,73.69,35.0,96,-0.31,-0.19,-0.31,35220.0,7530.0,93.0,100,97,19200.0,30.0,37.0,13.25,67,90,99,62,100
65.0,72.46,33.0,88,-0.23,-0.16,-0.23,34080.0,6300.0,90.0,100,91,19710.0,750.0,43.0,13.0,69,91,95,94,96
67.0,74.49,30.0,64,0.17,0.03,0.17,37320.0,9780.0,84.0,100,100,17970.0,2220.0,45.0,13.875,59,81,81,40,97
